|-Pesticide|                        1               2               3               4               5              6
  247 Tillam              1.000000E+02    1.400000E+01    4.000000E+00    7.000000E-01    4.300000E+02    0.000000E+00
  248 Tilt                1.100000E+02    1.100000E+02    3.000000E+01    7.000000E-01    1.000000E+03    0.000000E+00
  249 Tolban              1.000000E-01    1.400000E+02    1.000000E+00    3.000000E-01    2.240000E+03    0.000000E+00
  250 Topsin              3.500000E+00    1.000000E+01    5.000000E+00    4.000000E-01    1.830000E+03    0.000000E+00
  251 Tordan              1.000000E+05    3.000000E+01    8.000000E+00    6.000000E-01    2.000000E+01    0.000000E+00
  252 Tordon              2.000000E+05    9.000000E+01    8.000000E+00    6.000000E-01    1.600000E+01    0.000000E+00
  253 Toxaphene           4.000000E-01    5.000000E+02    2.000000E+00    1.000000E-01    4.000000E+05    0.000000E+00
  254 Tralomethrin        0.000000E+00    2.700000E+01    1.000000E+00    4.000000E-01    1.000000E+05    0.000000E+00
  255 Treflan             3.000000E-01    6.000000E+01    3.000000E+00    4.000000E-01    8.000000E+03    0.000000E+00
  256 Tre-Hold            1.050000E+02    1.000000E+01    5.000000E+00    4.000000E-01    3.000000E+02    0.000000E+00
  257 Trithion            6.000000E-01    1.500000E+01    6.000000E+00    7.000000E-01    1.250000E+04    0.000000E+00
  258 Tupersan            1.800000E+01    9.000000E+01    3.000000E+01    7.000000E-01    4.200000E+02    0.000000E+00
  259 Turflon             2.300000E+01    4.600000E+01    1.500000E+01    7.000000E-01    7.800000E+02    0.000000E+00
  260 Vapam               9.630000E+05    7.000000E+00    9.900000E+01    1.000000E+00    1.000000E+01    0.000000E+00
  261 Velpar              3.300000E+04    9.000000E+01    3.000000E+01    9.000000E-01    5.400000E+01    0.000000E+00
  262 Vendex              0.000000E+00    9.000000E+01    3.000000E+01    2.000000E-01    2.300000E+03    0.000000E+00
  263 Vernam              1.080000E+02    1.200000E+01    2.000000E+00    8.000000E-01    2.600000E+02    0.000000E+00
  264 Vitavax             1.950000E+02    7.000000E+00    9.900000E+01    1.000000E+00    2.600000E+02    0.000000E+00
  265 Volck oils          1.000000E+02    1.000000E+01    2.000000E+00    6.000000E-01    1.000000E+03    0.000000E+00
  266 Vorlex              7.600000E+03    1.000000E+01    9.900000E+01    1.000000E+00    1.000000E+01    0.000000E+00
  267 Vydate              2.820000E+05    4.000000E+00    4.000000E+00    9.000000E-01    2.500000E+01    0.000000E+00
  268 Weedar              7.960000E+05    1.000000E+01    9.000000E+00    4.000000E-01    2.000000E+01    0.000000E+00
  269 Weed-B-Gon          5.000000E+05    2.400000E+01    1.000000E+01    4.000000E-01    8.000000E+01    0.000000E+00
  270 Weedone             5.000000E+01    1.000000E+01    9.000000E+00    4.000000E-01    1.000000E+03    0.000000E+00
  271 Zolone              3.000000E+00    2.100000E+01    8.000000E+00    6.000000E-01    1.800000E+03    0.000000E+00
  272 TRICLOPYR           4.300000E+02    9.900000E+01    3.400000E+01    7.000000E-01    5.000000E+01    0.000000E+00
  278 ZCVXSA              2.250000E+02    2.540000E+02    8.000000E+00    6.000000E-01    1.800000E+03    0.000000E+00
  279 zq                  2.250000E+02    2.540000E+02    8.000000E+00    6.000000E-01    1.800000E+03    0.000000E+00
  280 ZADS                2.250000E+02    2.300000E+01    8.000000E+00    6.000000E-01    1.800000E+03    0.000000E+00
  281 ZXCAD               2.300000E+01    2.300000E+01    8.000000E+00    6.000000E-01    1.800000E+03    2.500000E+01
  283 ZSACVB              2.300000E+01    2.300000E+01    8.000000E+00    6.000000E-01    1.000000E+02    1.000000E+00
  285 ZZAAQQQQ            5.000000E+03    1.000000E+01    9.000000E+00    4.000000E-01    3.222000E+03    2.500000E+01
